id;hs4_id;hs6;label;present;meta;updated_at
62;12;020641;NA;True;"{""lang"": ""fr"", ""source"": ""ADII"", ""scraped_at"": ""2026-01-20T16:25:12.769517"", ""parser_version"": ""v1.3""}";2026-01-20 15:25:51.091567
59;12;020622;NA;True;"{""lang"": ""fr"", ""source"": ""ADII"", ""scraped_at"": ""2026-01-20T16:22:11.608735"", ""parser_version"": ""v1.3""}";2026-01-20 15:22:59.978851
64;12;020680;NA;True;"{""lang"": ""fr"", ""source"": ""ADII"", ""scraped_at"": ""2026-01-20T16:27:12.068812"", ""parser_version"": ""v1.3""}";2026-01-20 15:28:13.362689
57;12;020610;- De l'espèce bovine, frais ou réfrigérés;True;"{""lang"": ""fr"", ""source"": ""ADII"", ""scraped_at"": ""2026-01-20T16:19:56.450956"", ""parser_version"": ""v1.3""}";2026-01-20 15:21:08.117737
60;12;020629;- - Autres;True;"{""lang"": ""fr"", ""source"": ""ADII"", ""scraped_at"": ""2026-01-20T16:23:07.300951"", ""parser_version"": ""v1.3""}";2026-01-20 15:23:43.213533
65;12;020690;- Autres, congelés;True;"{""lang"": ""fr"", ""source"": ""ADII"", ""scraped_at"": ""2026-01-20T16:28:18.228812"", ""parser_version"": ""v1.3""}";2026-01-20 15:28:53.846267
63;12;020649;NA;True;"{""lang"": ""fr"", ""source"": ""ADII"", ""scraped_at"": ""2026-01-20T16:26:12.473948"", ""parser_version"": ""v1.3""}";2026-01-20 15:26:55.516404
72;13;020725;NA;True;"{""lang"": ""fr"", ""source"": ""ADII"", ""scraped_at"": ""2026-01-20T16:37:24.884173"", ""parser_version"": ""v1.3""}";2026-01-20 15:38:09.054976
66;13;020711;NA;True;"{""lang"": ""fr"", ""source"": ""ADII"", ""scraped_at"": ""2026-01-20T16:30:59.271960"", ""parser_version"": ""v1.3""}";2026-01-20 15:31:49.136605
69;13;020714;- - Morceaux et abats, congelés;True;"{""lang"": ""fr"", ""source"": ""ADII"", ""scraped_at"": ""2026-01-20T16:32:39.781302"", ""parser_version"": ""v1.3""}";2026-01-20 15:33:24.277114
